AYACUCHO|PARTIDO FRENTE DE LA ESPERANZA 2021	6374
AYACUCHO|PARTIDO MORADO	897
AYACUCHO|PARTIDO PATRIÓTICO DEL PERÚ	2884
AYACUCHO|PARTIDO PAÍS PARA TODOS	6523
AYACUCHO|PARTIDO POLÍTICO COOPERACIÓN POPULAR	3387
AYACUCHO|PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA	507
AYACUCHO|PARTIDO POLÍTICO NACIONAL PERÚ LIBRE	3334
AYACUCHO|PARTIDO POLÍTICO PERÚ ACCIÓN	613
AYACUCHO|PARTIDO POLÍTICO PERÚ PRIMERO	2603
AYACUCHO|PARTIDO POLÍTICO PRIN	166
AYACUCHO|PARTIDO SICREO	5827
AYACUCHO|PERÚ MODERNO	180
AYACUCHO|PODEMOS PERÚ	6733
AYACUCHO|PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO	5186
AYACUCHO|PROGRESEMOS	1194
AYACUCHO|RENOVACIÓN POPULAR	7726
AYACUCHO|SALVEMOS AL PERÚ	588
AYACUCHO|UN CAMINO DIFERENTE	484
AYACUCHO|UNIDAD NACIONAL	384
AYACUCHO|VOTOS EN BLANCO	52594
AYACUCHO|VOTOS NULOS	18832
CAJAMARCA|AHORA NACIÓN - AN	28861
CAJAMARCA|ALIANZA ELECTORAL VENCEREMOS	4072
CAJAMARCA|ALIANZA PARA EL PROGRESO	10284
CAJAMARCA|AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL	975
CAJAMARCA|FE EN EL PERÚ	911
CAJAMARCA|FUERZA POPULAR	88714
CAJAMARCA|FUERZA Y LIBERTAD	575
CAJAMARCA|JUNTOS POR EL PERÚ	266459
CAJAMARCA|LIBERTAD POPULAR	2451
CAJAMARCA|PARTIDO APRISTA PERUANO	4005
CAJAMARCA|PARTIDO CÍVICO OBRAS	70311
CAJAMARCA|PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ	498
CAJAMARCA|PARTIDO DEL BUEN GOBIERNO	29469
CAJAMARCA|PARTIDO DEMOCRATICO FEDERAL	1070
CAJAMARCA|PARTIDO DEMOCRÁTICO SOMOS PERÚ	7061
CAJAMARCA|PARTIDO DEMÓCRATA UNIDO PERÚ	2541
CAJAMARCA|PARTIDO DEMÓCRATA VERDE	2653
CAJAMARCA|PARTIDO FRENTE DE LA ESPERANZA 2021	6398
CAJAMARCA|PARTIDO MORADO	4510
CAJAMARCA|PARTIDO PATRIÓTICO DEL PERÚ	5286
CAJAMARCA|PARTIDO PAÍS PARA TODOS	20149
CAJAMARCA|PARTIDO POLÍTICO COOPERACIÓN POPULAR	3197
CAJAMARCA|PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA	1448
CAJAMARCA|PARTIDO POLÍTICO NACIONAL PERÚ LIBRE	5474
CAJAMARCA|PARTIDO POLÍTICO PERÚ ACCIÓN	1120
CAJAMARCA|PARTIDO POLÍTICO PERÚ PRIMERO	6113
CAJAMARCA|PARTIDO POLÍTICO PRIN	450
CAJAMARCA|PARTIDO SICREO	11397
CAJAMARCA|PERÚ MODERNO	399
CAJAMARCA|PODEMOS PERÚ	13958
